gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Debentures,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Market,Factor,Objective,Purpose,Duration,Invest_Monitor,Expect,Avenue,What are your savings objectives?,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source
Female,49,Yes,5,4,6,5,1,5,7,No,Risk,Income,Returns,More than 5 years,Weekly,10%-20%,Fixed Deposits,Health Care,Liquidity,Fund Diversification,Tax Incentives,Fixed Returns,Television
Male,43,Yes,2,6,3,7,6,2,5,No,Returns,Capital Appreciation,Returns,1-3 years,Monthly,10%-20%,Fixed Deposits,Retirement Plan,Liquidity,Better Returns,Safe Investment,Risk Free,Internet
Female,22,Yes,3,1,1,6,3,2,5,Yes,Locking Period,Growth,Wealth Creation,1-3 years,Weekly,30%-40%,Equity,Education,Liquidity,Fund Diversification,Tax Incentives,Fixed Returns,Financial Consultants
Male,46,No,5,5,5,4,2,1,3,No,Returns,Growth,Wealth Creation,Less than 1 year,Monthly,20%-30%,Equity,Health Care,Liquidity,Better Returns,Tax Incentives,Risk Free,Television
Female,49,Yes,1,2,5,1,7,5,3,No,Returns,Capital Appreciation,Savings for Future,3-5 years,Daily,20%-30%,Mutual Fund,Education,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Television
Female,49,No,5,4,5,5,3,1,6,Yes,Risk,Income,Savings for Future,3-5 years,Daily,20%-30%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Financial Consultants
Male,48,No,7,6,3,4,7,6,4,Yes,Returns,Growth,Savings for Future,3-5 years,Daily,10%-20%,Public Provident Fund,Retirement Plan,Dividend,Tax Benefits,Assured Returns,Fixed Returns,Internet
Male,49,Yes,5,2,1,7,2,4,5,No,Returns,Growth,Savings for Future,Less than 1 year,Daily,10%-20%,Public Provident Fund,Education,Capital Appreciation,Tax Benefits,Tax Incentives,Fixed Returns,Internet
Female,34,Yes,1,5,2,7,3,2,6,No,Locking Period,Capital Appreciation,Returns,More than 5 years,Daily,10%-20%,Equity,Retirement Plan,Liquidity,Tax Benefits,Assured Returns,Fixed Returns,Newspapers and Magazines
Male,50,Yes,5,5,1,3,2,6,6,No,Risk,Capital Appreciation,Savings for Future,Less than 1 year,Daily,30%-40%,Fixed Deposits,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Television
Male,37,Yes,5,4,7,1,1,1,5,No,Locking Period,Capital Appreciation,Wealth Creation,1-3 years,Weekly,30%-40%,Public Provident Fund,Retirement Plan,Liquidity,Fund Diversification,Tax Incentives,High Interest Rates,Newspapers and Magazines
Female,31,No,3,4,6,4,1,3,2,Yes,Returns,Income,Wealth Creation,Less than 1 year,Monthly,30%-40%,Public Provident Fund,Education,Capital Appreciation,Tax Benefits,Tax Incentives,Fixed Returns,Television
Male,48,Yes,3,1,7,1,5,3,2,No,Locking Period,Capital Appreciation,Wealth Creation,3-5 years,Monthly,20%-30%,Equity,Education,Liquidity,Fund Diversification,Assured Returns,High Interest Rates,Television
Female,35,Yes,7,4,4,7,7,3,7,Yes,Returns,Capital Appreciation,Returns,Less than 1 year,Weekly,30%-40%,Public Provident Fund,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants
Female,40,No,3,5,3,2,4,2,3,Yes,Returns,Growth,Savings for Future,More than 5 years,Weekly,10%-20%,Equity,Health Care,Liquidity,Fund Diversification,Assured Returns,Risk Free,Financial Consultants
Male,37,Yes,5,3,6,6,4,4,7,Yes,Locking Period,Income,Returns,3-5 years,Daily,30%-40%,Fixed Deposits,Health Care,Liquidity,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Female,23,Yes,2,5,7,6,2,1,7,Yes,Returns,Income,Returns,1-3 years,Monthly,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Risk Free,Newspapers and Magazines
Male,30,No,2,2,6,5,2,2,3,No,Risk,Growth,Savings for Future,Less than 1 year,Daily,20%-30%,Public Provident Fund,Health Care,Dividend,Fund Diversification,Safe Investment,High Interest Rates,Television
Female,60,No,4,6,3,4,7,1,5,No,Risk,Income,Savings for Future,Less than 1 year,Monthly,30%-40%,Mutual Fund,Health Care,Liquidity,Fund Diversification,Tax Incentives,High Interest Rates,Financial Consultants
Male,54,Yes,6,4,3,5,3,2,2,No,Locking Period,Capital Appreciation,Returns,1-3 years,Weekly,20%-30%,Public Provident Fund,Education,Liquidity,Better Returns,Safe Investment,Fixed Returns,Television
Female,29,No,2,5,6,4,7,3,7,No,Risk,Capital Appreciation,Savings for Future,More than 5 years,Weekly,10%-20%,Mutual Fund,Education,Liquidity,Tax Benefits,Assured Returns,Risk Free,Internet
Male,20,Yes,2,2,1,4,7,4,6,Yes,Returns,Growth,Returns,3-5 years,Daily,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Financial Consultants
Female,31,Yes,2,1,3,6,3,3,2,No,Returns,Capital Appreciation,Savings for Future,Less than 1 year,Daily,30%-40%,Equity,Retirement Plan,Dividend,Better Returns,Safe Investment,High Interest Rates,Television
Female,60,No,5,2,5,7,3,6,3,Yes,Locking Period,Income,Savings for Future,1-3 years,Weekly,30%-40%,Equity,Education,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Newspapers and Magazines
Female,47,Yes,1,6,6,3,7,5,7,Yes,Returns,Capital Appreciation,Returns,3-5 years,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Risk Free,Internet
